,instrumentID,tradedate
799,IH1808                        ,2018-07-23
800,IH1808                        ,2018-07-24
801,IH1808                        ,2018-07-25
802,IH1808                        ,2018-07-26
803,IH1808                        ,2018-07-27
804,IH1808                        ,2018-07-30
805,IH1808                        ,2018-07-31
806,IH1808                        ,2018-08-01
807,IH1808                        ,2018-08-02
808,IH1808                        ,2018-08-03
809,IH1808                        ,2018-08-06
810,IH1808                        ,2018-08-07
811,IH1808                        ,2018-08-08
812,IH1808                        ,2018-08-09
813,IH1808                        ,2018-08-10
814,IH1808                        ,2018-08-13
815,IH1808                        ,2018-08-14
816,IH1808                        ,2018-08-15
817,IH1808                        ,2018-08-16
818,IH1809                        ,2018-08-17
819,IH1809                        ,2018-08-20
820,IH1809                        ,2018-08-21
821,IH1809                        ,2018-08-22
822,IH1809                        ,2018-08-23
823,IH1809                        ,2018-08-24
824,IH1809                        ,2018-08-27
825,IH1809                        ,2018-08-28
826,IH1809                        ,2018-08-29
827,IH1809                        ,2018-08-30
828,IH1809                        ,2018-08-31
829,IH1809                        ,2018-09-03
830,IH1809                        ,2018-09-04
831,IH1809                        ,2018-09-05
832,IH1809                        ,2018-09-06
833,IH1809                        ,2018-09-07
834,IH1809                        ,2018-09-10
835,IH1809                        ,2018-09-11
836,IH1809                        ,2018-09-12
837,IH1809                        ,2018-09-13
838,IH1809                        ,2018-09-14
839,IH1809                        ,2018-09-17
840,IH1809                        ,2018-09-18
841,IH1809                        ,2018-09-19
842,IH1809                        ,2018-09-20
843,IH1810                        ,2018-09-21
844,IH1810                        ,2018-09-25
845,IH1810                        ,2018-09-26
846,IH1810                        ,2018-09-27
847,IH1810                        ,2018-09-28
848,IH1810                        ,2018-10-08
849,IH1810                        ,2018-10-09
850,IH1810                        ,2018-10-10
